OBS,TOTBILL,TIP,SEX,SMOKER,DAY,TIME,SIZE,TIPRATE
211,30.06,2,Male,Yes,Sat,Night,3,6.65 
212,25.89,5.16,Male,Yes,Sat,Night,4,19.93 
213,48.33,9,Male,No,Sat,Night,4,18.62 
214,13.27,2.5,Female,Yes,Sat,Night,2,18.84 
215,28.17,6.5,Female,Yes,Sat,Night,3,23.07 
216,12.9,1.1,Female,Yes,Sat,Night,2,8.53 
217,28.15,3,Male,Yes,Sat,Night,5,10.66 
218,11.59,1.5,Male,Yes,Sat,Night,2,12.94 
219,7.74,1.44,Male,Yes,Sat,Night,2,18.60 
220,30.14,3.09,Female,Yes,Sat,Night,4,10.25 
221,12.16,2.2,Male,Yes,Fri,Day,2,18.09 
222,13.42,3.48,Female,Yes,Fri,Day,2,25.93 
223,8.58,1.92,Male,Yes,Fri,Day,1,22.38 
224,15.98,3,Female,No,Fri,Day,3,18.77 
225,13.42,1.58,Male,Yes,Fri,Day,2,11.77 
226,16.27,2.5,Female,Yes,Fri,Day,2,15.37 
227,10.09,2,Female,Yes,Fri,Day,2,19.82 
228,20.45,3,Male,No,Sat,Night,4,14.67 
229,13.28,2.72,Male,No,Sat,Night,2,20.48 
230,22.12,2.88,Female,Yes,Sat,Night,2,13.02 
231,24.01,2,Male,Yes,Sat,Night,4,8.33 
232,15.69,3,Male,Yes,Sat,Night,3,19.12 
233,11.61,3.39,Male,No,Sat,Night,2,29.20 
234,10.77,1.47,Male,No,Sat,Night,2,13.65 
235,15.53,3,Male,Yes,Sat,Night,2,19.32 
236,10.07,1.25,Male,No,Sat,Night,2,12.41 
237,12.6,1,Male,Yes,Sat,Night,2,7.94 
238,32.83,1.17,Male,Yes,Sat,Night,2,3.56 
239,35.83,4.67,Female,No,Sat,Night,3,13.03 
240,29.03,5.92,Male,No,Sat,Night,3,20.39 
241,27.18,2,Female,Yes,Sat,Night,2,7.36 
242,22.67,2,Male,Yes,Sat,Night,2,8.82 
243,17.82,1.75,Male,No,Sat,Night,2,9.82 
244,18.78,3,Female,No,Thur,Night,2,15.97 
